ID	logFC	AveExpr	adj.P.Val
DN31971_c0_g1	-3.606860334	-1.755303345	1.71e-11
DN32020_c0_g1	1.307148332	-2.486417163	0.0009147
DN3216_c0_g1	-1.057842482	1.026395392	4.12e-05
DN32371_c1_g1	1.718089368	-3.763166904	7.17e-05
DN32566_c0_g1	-1.189885273	-0.49020016	1.39e-06
DN32641_c0_g1	-1.223651363	0.988130795	1.51e-07
DN32665_c0_g1	1.329760802	-2.953039723	0.009249183
DN32709_c0_g1	-1.596278858	-1.911351062	0.000905708
DN32815_c0_g1	1.100514311	-2.421588071	0.007705255
DN32836_c0_g2	1.8000554	-0.453427828	2.89e-11
DN32845_c0_g1	3.783846323	-1.19333583	1.49e-05
DN32845_c0_g3	2.277460647	4.975005838	4.32e-09
DN32912_c0_g1	-1.763615811	-0.752173674	0.000252386
DN32977_c0_g1	1.354930354	-3.869420218	0.000664109
DN32985_c0_g1	1.898304519	-0.966426292	2.19e-10
DN33068_c0_g1	1.036350423	0.458556401	3.74e-10
DN33094_c0_g1	-1.47055115	-2.059635446	0.004083917
DN33141_c0_g1	1.185251115	-2.65938513	0.005035971
DN33149_c0_g1	-1.614897189	-0.64151386	1.2e-06
DN33195_c0_g1	2.590940239	-0.075311341	5.29e-16
DN33318_c0_g1	3.502065932	-3.417473538	7.04e-06
DN33318_c0_g2	4.848455671	-2.780752941	8.55e-08
DN33351_c0_g1	-1.93837791	-0.314961756	9.13e-08
DN3337_c0_g1	-1.895494305	-0.744803283	0.0017913
DN33404_c0_g1	-5.261403892	1.891205651	6.45e-10
DN33411_c0_g1	1.405777961	-3.815216412	0.000327569
DN33482_c0_g1	9.172199405	-1.308212091	9.69e-08
DN33482_c0_g2	NA	NA	NA
DN33482_c0_g3	8.918607444	-1.5152054	1.04e-07
DN33583_c0_g1	1.29850262	-0.903540246	5.73e-05
DN33654_c0_g1	-1.52473929	-3.053514603	0.00298404
DN33750_c0_g1	-3.108714729	-2.225504371	3.85e-07
DN33772_c0_g1	NA	NA	NA
DN33789_c0_g1	1.09136711	3.045450272	0.000626893
DN33836_c0_g1	2.760332555	-2.286806057	1.51e-06
DN33870_c0_g1	4.052194643	-1.573620465	3.06e-12
DN33907_c0_g1	3.079497278	-2.333918515	2.05e-08
DN33934_c0_g1	4.296473529	-1.730506577	5.23e-16
DN33946_c0_g1	1.630108213	4.106796915	2.24e-13
DN33976_c0_g1	-1.249404942	-1.051409613	0.006590446
DN33976_c0_g2	-1.875160887	-2.225090364	0.000238688
DN33998_c0_g1	2.513478285	1.015668309	2.1e-07
DN34011_c0_g1	-5.03811379	2.68042196	4.99e-22
DN34032_c0_g1	-2.077531315	2.105230607	9.85e-07
DN34234_c0_g1	1.562208873	-3.596393404	0.00810905
DN34272_c1_g2	1.137625829	-3.974456287	0.008907929
DN34288_c0_g2	-2.841606714	1.588057117	1.11e-13
DN34352_c0_g1	-2.255509017	-2.47893613	9.91e-06
DN34399_c0_g1	1.277291604	-3.795947603	0.004603159
DN34450_c0_g1	-1.436204391	-1.192880758	0.000424916
DN34526_c0_g1	2.475955551	-3.334044166	7.73e-08
DN34554_c0_g1	-4.991499035	1.234569893	1.58e-15
DN34593_c0_g1	1.951605949	-0.899169662	2.48e-10
DN34662_c0_g1	1.438655469	-3.593120435	0.001463951
DN34734_c0_g1	-1.782584875	-1.668020672	7.69e-05
DN34777_c0_g1	2.433737599	-3.269437186	5.13e-06
DN34777_c0_g2	2.907830511	-3.15533903	3.59e-11
DN34780_c0_g1	1.878631629	-2.070182968	0.000477292
DN34793_c0_g1	-2.092134363	-1.412738964	1.46e-07
DN34879_c0_g1	-1.868573258	-3.021462961	2.4e-05
DN34879_c0_g2	-2.820203139	0.65719304	2.24e-13
DN34885_c0_g1	-1.526379265	3.104259894	2.11e-16
DN34901_c0_g1	-1.242097261	-2.176253938	0.001737991
DN34993_c0_g1	-2.683968025	2.357195125	2.03e-17
DN35030_c0_g1	1.472902929	-0.877554381	6.76e-07
DN35034_c0_g1	2.172531581	-0.067919486	2.42e-16
DN35037_c0_g1	1.110434888	-1.577884173	0.003104851
DN35093_c0_g1	2.480758215	-1.11089831	4.61e-09
DN35093_c0_g2	2.585469335	-1.66189746	7.51e-08
DN35098_c0_g1	-1.000431555	-2.329104855	0.005838102
DN35145_c0_g1	1.168450976	-2.044435087	0.003764223
DN35153_c0_g1	3.97409561	-3.531554804	4.93e-09
DN35154_c0_g1	-1.357989154	4.278561407	4.68e-20
DN35163_c0_g1	NA	NA	NA
DN35189_c0_g1	2.58458792	2.522953021	2.6e-07
DN35229_c0_g1	-1.379549414	-1.380133769	0.002174818
