ID	logFC	AveExpr	adj.P.Val
DN41220_c0_g1	1.062877311	2.651137989	6.96e-12
DN41230_c0_g1	1.707753338	-1.760300995	4.43e-05
DN41231_c0_g1	1.000933211	3.438322962	6.46e-05
DN41232_c0_g2	-1.797164668	0.7772969	9.17e-09
DN41242_c0_g1	1.396827748	0.941989137	3.05e-05
DN41244_c0_g3	1.181536705	-3.463539098	0.008797728
DN41253_c0_g1	2.549811097	-3.530611631	3.47e-06
DN41260_c0_g1	-1.23371523	1.357495538	0.000439715
DN41261_c0_g1	1.101352903	2.773563119	4.16e-08
DN41270_c0_g1	-1.239643253	3.134089261	3.88e-09
DN41278_c0_g1	1.292689718	3.117542761	5.45e-17
DN41302_c0_g1	2.352334522	-1.162360274	7.64e-09
DN41316_c0_g1	2.876079122	0.37090345	1.35e-14
DN41322_c0_g1	-2.954305539	-0.845002817	6.55e-10
DN41361_c0_g1	2.166202683	5.248258008	6.4e-20
DN41368_c0_g1	-2.485003132	1.494240452	3.64e-13
DN41382_c0_g1	1.465985441	0.340622135	6.1e-07
DN41399_c0_g1	7.690747272	-1.388335993	3.23e-19
DN41409_c0_g1	1.633250101	-3.606157881	0.000624628
DN41420_c0_g1	-4.583434866	-1.804160773	2.45e-15
DN41428_c0_g2	1.457492466	-2.301878331	0.000306889
DN41435_c0_g1	-1.976844569	-0.044723992	8.98e-07
DN41443_c0_g1	-2.200957613	6.256992694	1.17e-22
DN41447_c0_g2	-1.037736373	1.113989231	7.49e-07
DN41461_c0_g1	-1.143323129	2.366076385	2.79e-09
DN41481_c0_g1	1.474624956	-0.476452427	3.22e-11
DN41521_c0_g1	-2.014271437	4.428000237	9.53e-07
DN41534_c0_g1	-1.991521817	-2.947410488	4.22e-05
DN41545_c0_g1	3.013368814	-2.388260369	8.12e-14
DN41566_c0_g4	1.343994136	-3.583958468	0.002904303
DN41577_c0_g1	1.64163549	-0.594799255	6.58e-09
DN41585_c0_g1	-1.041131008	-0.383966368	0.000104042
DN41589_c0_g1	3.126977509	1.197496054	4.71e-09
DN41595_c0_g1	1.180637796	1.083830563	9.49e-06
DN41610_c0_g1	1.219773198	-3.07633724	0.005148814
DN41614_c0_g1	4.934953431	3.76821009	2e-17
DN41644_c0_g1	-1.604666322	-0.628243018	3.21e-05
DN41648_c0_g1	1.065432935	0.767960713	3.33e-08
DN41669_c0_g1	-2.518364316	4.065703331	1.96e-19
DN41676_c0_g1	-1.093337705	-0.10287059	1.12e-05
DN41683_c0_g1	1.208965017	-2.545821452	0.003395376
DN41684_c0_g1	1.407593418	6.730380815	3.06e-06
DN41730_c0_g1	-1.813619775	-1.682071507	0.000253298
DN41731_c0_g1	-1.735564508	1.696748701	4.53e-08
DN41733_c1_g1	-4.390846682	0.453960443	1.46e-14
DN41738_c0_g1	-4.06860729	-1.047262375	9.01e-12
DN41738_c1_g2	2.247534612	-0.226830641	1.37e-07
